Unnamed: 0	count	total_hrs	total_f	avg_mins	avg_f	missing	missing_hr	most_overlap	long_title	long_id	long_date	long_length
hololive	158.0	251	10:11:53	94.0	1:33	5.0	13.45	Sunday (20:01-20:28) 29	リングフィットアドベンチャーをVTuberが3Dで4人実況！【10時間耐久】	https://youtu.be/i4CZTQEN5pU	October 18 2019	587.0
sora	807.0	1311.0	54:15:17	97.0	1:37	135.0	110.41	Thursday (20:02) 71	【It Takes Two】今日も協力できるのか!?【#IoSora/#ときのそら生放送】	https://youtu.be/7mQfBybPyV4	July 12 2022	367.0
roboco	1646.0	3493.0	145:13:29	127.0	2:07	545.0	1027.4	Saturday (15:08-15:10, 15:12) 69	【耐久SP 】35万人記念にみんなで出すぞ35万ダメージ!!APEX参加型【ホロライブ/ロボ子さん】	https://youtu.be/ecEfC8XyNd0	October 11 2020	632.0
miko	1638.0	4276.0	178:04:24	157.0	2:37	633.0	1248.85	Monday (23:04-23:21) 77	【後編】みっころね24時間ぶっ通し生放送!【#みっころね24】	https://youtu.be/UbNJ-9AE2UI	September 23 2019	715.0
suisei	748.0	1028.0	42:19:46	82.0	1:22	210.0	277.55	Monday (22:01) 34	【ネタバレあり】テイルズ最新作「Tales of ARISE」を初見プレイ!#2【ホロライブ / 星街すいせい】	https://youtu.be/nmV4UyqqkZQ	September 18 2021	489.0
azki	185.0	331.0	13:19:08	107.0	1:47	28.0	117.8	Sunday (19:00-19:19, 19:22-19:27, 19:58-20:04) 20	#音楽を止めるな3DAY3　-Vtuber楽曲MV72時間ノンストップ放送-	https://youtu.be/ZWIwwP6IPmc	March 21 2021	720.0
mel	518.0	1242.0	51:17:41	144.0	2:24	81.0	118.01	Sunday (00:05-00:15) Monday (00:02-00:03) 33	【Core Keeper】探索いっぱいするぞ~!!【ホロライブ/夜空メル】	https://youtu.be/Po_Mj0_WglY	April 18 2022	531.0
fubuki	2094.0	3767.0	156:23:27	108.0	1:48	391.0	541.85	Saturday (23:02) 94	【DAY2】PlayStation®2用ソフトウェア『SIREN』クリア耐久放送!【#白上異界入り】	https://youtu.be/0jUod8kHAHU	August 03 2021	650.0
matsuri	1357.0	2419.0	100:18:39	107.0	1:47	464.0	681.52	Friday (23:15-23:17, 23:19) 53	【ARK】鉄の時代がやってくる!!【ホロライブ/夏色まつり】	https://youtu.be/7OcJWZmmpR8	January 22 2022	528.0
haachama	1359.0	1960.0	81:16:25	87.0	1:27	531.0	684.2	Tuesday (19:05-19:24, 19:30-19:38, 20:05-20:07) 36	【Fall Guys】初見でNo.1になるまでやる!はあちゃまっちゃま~!【ホロライブ/赤井はあと】	https://youtu.be/nlJyiPatRnE	August 13 2020	434.0
aki	1001.0	2475.0	103:02:41	148.0	2:28	277.0	473.39	Wednesday (16:01, 16:21-16:22) Thursday (00:01, 00:07, 00:11-00:17) 52	【ELDEN RING】初めてフロムゲーに挑戦！ムキデンリング【ホロライブ/アキロゼ】※ネタバレあり	https://youtu.be/SroQ8-t2FU8	April 14 2022	715.0
aqua	1027.0	2507.0	104:10:48	146.0	2:26	537.0	1135.97	Sunday (23:29-23:33) 48	【APEX】耐久!SOLO!ダイアモンドまで!終わらない!!【湊あくあ/ホロライブ】, 【ポケモンSV】最新作!五億年ぶりにポケモンやってみる!【湊あくあ/ホロライブ】	https://youtu.be/gOEnxFFgIX0, https://youtu.be/U2N0sUYPNyA	December 12 2020, November 18 2022	698.0
shion	682.0	1389.0	57:20:43	122.0	2:02	194.0	273.01	Tuesday (20:02-20:11) Friday (20:05-20:10) 30	【ポケモンSV】最新作!!次の場所を目指して冒険へ【ホロライブ/紫咲シオン】	https://youtu.be/39eqgSJps50	November 18 2022	690.0
